Unnamed: 0,Date,Address,State,County,City,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,Year
649748,2023-01-01,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,0.031588,0.041,9,38,0.126316,0.2,19,2.0,-0.0875,0.0,11,0.0,5.2375,16.5,18,15,2023
649749,2023-01-02,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,0.019824,0.023,22,21,0.1375,0.3,0,3.0,0.329167,0.9,8,0.0,4.975,9.6,7,8,2023
649750,2023-01-03,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,0.021471,0.023,22,21,0.1125,0.2,17,2.0,0.0,0.3,6,0.0,5.4625,9.9,17,8,2023
649751,2023-01-04,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,0.017235,0.04,9,37,0.15,0.5,23,6.0,-0.016667,0.6,22,0.0,10.6625,29.6,18,27,2023
649752,2023-01-05,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,0.030412,0.041,9,38,0.46,0.6,0,7.0,0.330769,1.0,17,1.0,12.245455,22.1,0,21,2023
649753,2023-01-06,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,0.016235,0.039,9,36,0.244444,0.4,22,5.0,0.357895,1.7,23,1.0,17.347619,31.8,18,29,2023
649754,2023-01-07,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,0.046,0.05,10,46,0.35,0.5,0,6.0,1.6875,4.9,23,6.0,11.333333,21.4,0,20,2023
649755,2023-01-08,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,0.029941,0.036,7,33,0.116667,0.2,0,2.0,0.245833,1.3,0,1.0,4.3625,8.4,17,8,2023
649756,2023-01-09,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,0.014706,0.033,9,31,0.158333,0.3,21,3.0,0.191667,0.4,20,0.0,10.508333,30.2,20,28,2023
649757,2023-01-10,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,0.022588,0.032,8,30,0.391667,0.6,9,7.0,0.95,3.4,9,4.0,17.0125,29.2,17,27,2023
649758,2023-01-11,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,0.024059,0.028,21,26,0.216667,0.4,0,5.0,0.571429,2.1,19,3.0,9.113636,18.7,0,17,2023
649759,2023-01-12,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,0.026941,0.032,11,30,0.104167,0.2,0,2.0,0.2125,0.4,2,0.0,4.3,11.6,13,10,2023
649760,2023-01-13,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,0.025941,0.027,22,25,0.1,0.1,0,1.0,-0.070588,0.1,0,0.0,2.282353,3.9,0,3,2023
649761,2023-01-14,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,0.021353,0.034,9,31,0.120833,0.2,19,2.0,-0.141667,1.2,23,1.0,4.970833,25.6,23,24,2023
649762,2023-01-15,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,0.013765,0.032,9,30,0.254167,0.6,23,7.0,1.275,6.1,9,9.0,15.670833,31.8,17,29,2023
649763,2023-01-16,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,0.036882,0.039,11,36,0.329167,0.6,0,7.0,1.1625,3.2,2,4.0,12.1625,27.6,7,25,2023
649764,2023-01-17,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,0.010118,0.021,8,19,0.229167,0.6,22,7.0,0.170833,3.1,0,4.0,11.425,24.6,9,23,2023
649765,2023-01-18,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,0.028706,0.035,21,32,0.270833,0.6,0,7.0,-0.083333,0.4,22,0.0,8.666667,16.7,4,15,2023
649766,2023-01-19,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,0.034353,0.042,9,39,0.11875,0.2,8,2.0,0.105263,0.9,1,0.0,6.452381,24.3,7,23,2023
649767,2023-01-20,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,0.024882,0.033,9,31,0.13125,0.2,19,2.0,-0.163158,0.0,4,0.0,7.847619,16.8,22,15,2023
649768,2023-01-21,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,0.029,0.034,9,31,0.179167,0.2,0,2.0,-0.1375,0.1,7,0.0,6.091667,12.1,1,11,2023
649769,2023-01-22,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,0.022353,0.024,17,22,0.158333,0.2,0,2.0,-0.1125,0.0,2,0.0,4.154167,8.4,10,8,2023
649770,2023-01-23,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,0.016294,0.036,9,33,0.133333,0.3,22,3.0,-0.0375,1.6,22,1.0,8.841667,25.9,22,24,2023
649771,2023-01-24,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,0.035353,0.038,11,35,0.291667,0.4,1,5.0,0.570833,3.1,13,4.0,10.541667,22.2,0,21,2023
649772,2023-01-25,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,0.029529,0.032,15,30,0.141667,0.2,0,2.0,0.183333,1.9,8,1.0,4.954167,10.5,3,9,2023
649773,2023-01-26,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,0.027647,0.035,9,32,0.116667,0.2,20,2.0,-0.186364,0.1,7,0.0,5.0,12.6,22,11,2023
649774,2023-01-27,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,0.024059,0.039,9,36,0.2375,0.4,22,5.0,0.020833,0.5,15,0.0,14.479167,37.2,18,35,2023
649775,2023-01-28,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,0.040471,0.043,10,40,0.229167,0.4,0,5.0,0.225,1.5,8,1.0,10.208333,24.2,8,23,2023
